%#DataThief /Users/bolson/Desktop/Picture 1.png Wednesday 25-May-2011 3:41:47 PM
1.51, 14.69
1.51, 14.69
1.52, 14.78
1.53, 14.78
1.53, 14.85
1.54, 14.85
1.54, 14.95
1.55, 14.95
1.55, 14.95
1.56, 15.03
1.56, 15.03
1.56, 15.12
1.56, 15.12
1.58, 15.12
1.58, 15.2
1.58, 15.2
1.58, 15.29
1.6, 15.29
1.6, 15.29
1.6, 15.29
1.6, 15.37
1.62, 15.37
1.62, 15.46
1.63, 15.46
1.63, 15.54
1.64, 15.54
1.64, 15.54
1.65, 15.63
1.66, 15.63
1.66, 15.63
1.67, 15.63
1.67, 15.71
1.68, 15.71
1.68, 15.71
1.69, 15.8
1.69, 15.8
1.7, 15.88
1.7, 15.88
1.71, 15.88
1.71, 15.97
1.72, 15.97
1.72, 15.97
1.73, 15.97
1.73, 16.05
1.74, 16.05
1.74, 16.05
1.75, 16.14
1.75, 16.14
1.76, 16.14
1.76, 16.22
1.77, 16.22
1.77, 16.22
1.78, 16.22
1.78, 16.22
1.79, 16.31
1.8, 16.31
1.8, 16.31
1.81, 16.39
1.81, 16.39
1.81, 16.39
1.81, 16.39
1.83, 16.48
1.83, 16.48
1.83, 16.56
1.83, 16.56
1.85, 16.56
1.85, 16.56
1.85, 16.56
1.85, 16.65
1.87, 16.65
1.87, 16.65
1.88, 16.65
1.88, 16.73
1.89, 16.73
1.89, 16.73
1.9, 16.73
1.9, 16.81
1.91, 16.81
1.91, 16.9
1.92, 16.9
1.93, 16.9
1.93, 16.9
1.94, 16.9
1.94, 16.99
1.95, 16.99
1.95, 16.99
1.96, 17.07
1.96, 17.07
1.97, 17.07
1.97, 17.07
1.98, 17.16
1.98, 17.16
1.99, 17.24
1.99, 17.24
2.0, 17.24
2.0, 17.24
2.01, 17.33
2.01, 17.33
2.02, 17.33
2.02, 17.41
2.03, 17.41
2.03, 17.41
2.04, 17.41
2.04, 17.41
2.05, 17.5
2.05, 17.5
2.06, 17.5
2.07, 17.58
2.07, 17.58
2.08, 17.58
2.08, 17.58
2.09, 17.67
2.09, 17.67
2.1, 17.75
2.1, 17.75
2.11, 17.75
2.11, 17.75
2.12, 17.83
2.12, 17.83
2.13, 17.83
2.13, 17.92
2.14, 17.92
2.14, 17.92
2.15, 18.01
2.15, 18.01
2.16, 18.09
2.16, 18.09
2.17, 18.09
2.17, 18.18
2.18, 18.18
2.18, 18.26
2.19, 18.26
2.2, 18.26
2.2, 18.35
2.21, 18.35
2.21, 18.35
2.22, 18.43
2.22, 18.43
2.23, 18.52
2.23, 18.52
2.24, 18.6
2.24, 18.6
2.25, 18.69
2.25, 18.69
2.26, 18.69
2.26, 18.77
2.27, 18.77
2.27, 18.77
2.28, 18.85
2.28, 18.85
2.29, 18.94
2.29, 18.94
2.3, 19.03
2.3, 19.03
2.31, 19.03
2.31, 19.03
2.32, 19.11
2.32, 19.2
2.33, 19.2
2.34, 19.2
2.34, 19.28
2.35, 19.28
2.35, 19.37
2.35, 19.37
2.35, 19.37
2.37, 19.37
2.37, 19.45
2.38, 19.45
2.38, 19.54
2.39, 19.54
2.39, 19.54
2.4, 19.62
2.4, 19.62
2.41, 19.71
2.41, 19.71
2.42, 19.71
2.42, 19.71
2.43, 19.79
2.43, 19.79
2.44, 19.79
2.44, 19.88
2.45, 19.88
2.45, 19.88
2.46, 19.88
2.46, 19.96
2.47, 19.96
2.48, 19.96
2.48, 19.96
2.49, 19.96
2.49, 19.96
2.5, 20.05
2.5, 20.05
2.51, 20.05
2.51, 20.05
2.52, 20.05
2.52, 20.05
2.53, 20.05
2.53, 20.05
2.54, 20.05
2.54, 20.05
2.55, 20.05
2.55, 20.05
2.56, 20.05
2.56, 20.05
2.56, 20.05
2.56, 20.05
2.58, 20.13
2.58, 20.13
2.58, 20.13
2.58, 20.13
2.6, 20.13
2.6, 20.13
2.6, 20.13
2.62, 20.13
2.62, 20.13
2.63, 20.13
2.63, 20.13
2.63, 20.22
2.64, 20.22
2.64, 20.22
2.65, 20.13
2.65, 20.13
2.66, 20.13
2.66, 20.13
2.67, 20.13
2.67, 20.13
2.68, 20.13
2.68, 20.13
2.69, 20.13
2.69, 20.13
2.7, 20.13
2.7, 20.13
2.71, 20.13
2.71, 20.13
2.72, 20.13
2.72, 20.13
2.73, 20.13
2.74, 20.13
2.74, 20.13
2.75, 20.13
2.75, 20.13
2.76, 20.13
2.76, 20.13
2.77, 20.13
2.77, 20.13
2.78, 20.13
2.78, 20.13
2.79, 20.13
2.79, 20.13
2.8, 20.13
2.8, 20.13
2.81, 20.13
2.81, 20.13
2.81, 20.13
2.81, 20.13
2.83, 20.13
2.83, 20.13
2.83, 20.13
2.83, 20.13
2.85, 20.13
2.85, 20.13
2.85, 20.13
2.85, 20.13
2.87, 20.13
2.88, 20.13
2.88, 20.13
2.89, 20.13
2.89, 20.13
2.9, 20.13
2.9, 20.13
2.91, 20.13
2.91, 20.13
2.92, 20.13
2.92, 20.13
2.93, 20.13
2.93, 20.13
2.94, 20.13
2.94, 20.13
2.95, 20.13
2.95, 20.13
2.96, 20.13
