% %   <   1 - 4     >   x / H ,   P _ c e n / P 0 ,   x / H ,   P _ w a l l / P 0   ( l o w e r ) , ( u p p e r )
30.685 1.0001 6.1912e-40 -4.7142e-10 1
-1.4045 1.0001 -1.4045 -5.8881e-10 1
-1.3937 1.0001 -1.3937 -6.8053e-10 1
-1.3829 1 -1.3829 -7.4484e-10 1
-1.3721 1 -1.3721 -7.8083e-10 1
-1.3613 1 -1.3613 1.102e-45 1
-1.3505 1 -1.3505 1.102e-45 1
-1.3397 0.89811 -1.3397 0.89811 0.89811
-1.3289 0.94795 -1.3289 0.95915 0.95904
-1.3181 0.96103 -1.3181 0.95353 0.95348
-1.3074 0.95325 -1.3074 0.95461 0.95468
-1.2966 0.95478 -1.2966 0.95924 0.95929
-1.2858 0.95745 -1.2858 0.95435 0.95433
-1.275 0.95497 -1.275 0.9579 0.95789
-1.2642 0.95472 -1.2642 0.95616 0.95628
-1.2534 0.95561 -1.2534 0.95549 0.9557
-1.2426 0.95465 -1.2426 0.95646 0.95667
-1.2318 0.95413 -1.2318 0.9547 0.95487
-1.221 0.95427 -1.221 0.95517 0.95536
-1.2102 0.95378 -1.2102 0.95442 0.95463
-1.1994 0.95328 -1.1994 0.95375 0.95393
-1.1886 0.95309 -1.1886 0.95365 0.95379
-1.1778 0.9527 -1.1778 0.95283 0.95295
-1.167 0.95225 -1.167 0.95256 0.95264
-1.1562 0.95195 -1.1563 0.95202 0.95202
-1.1455 0.95159 -1.1455 0.9515 0.95143
-1.1347 0.95112 -1.1347 0.95109 0.95103
-1.1239 0.95067 -1.1239 0.95053 0.95049
-1.1131 0.95023 -1.1131 0.95013 0.95009
-1.1023 0.94979 -1.1023 0.94964 0.94962
-1.0915 0.94938 -1.0915 0.94915 0.94914
-1.0807 0.94897 -1.0807 0.94871 0.94873
-1.0699 0.94854 -1.0699 0.94826 0.94833
-1.0591 0.94809 -1.0591 0.94784 0.94793
-1.0483 0.94765 -1.0483 0.94734 0.94743
-1.0375 0.94719 -1.0375 0.94675 0.94686
-1.0267 0.94672 -1.0267 0.94617 0.94631
-1.0159 0.94624 -1.0159 0.9457 0.94589
-1.0051 0.94575 -1.0051 0.94533 0.94554
-0.99435 0.94527 -0.99435 0.94492 0.94508
-0.98356 0.9448 -0.98356 0.94439 0.94448
-0.97276 0.94433 -0.97277 0.94378 0.94387
-0.96197 0.94387 -0.96197 0.9432 0.94332
-0.95118 0.94341 -0.95118 0.9427 0.94287
-0.94038 0.94296 -0.94039 0.94226 0.94246
-0.92959 0.9425 -0.92959 0.94188 0.94201
-0.9188 0.94204 -0.9188 0.94155 0.94158
-0.908 0.94158 -0.90801 0.9412 0.9412
-0.89721 0.94112 -0.89721 0.94073 0.9408
-0.88642 0.94066 -0.88642 0.94016 0.94033
-0.87562 0.9402 -0.87563 0.93963 0.93985
-0.86483 0.93974 -0.86483 0.93927 0.93941
-0.85404 0.93927 -0.85404 0.93898 0.93901
-0.84325 0.9388 -0.84325 0.93858 0.93857
-0.83245 0.93833 -0.83245 0.93804 0.93804
-0.82166 0.93784 -0.82166 0.93746 0.93749
-0.81087 0.93735 -0.81087 0.93687 0.93694
-0.80007 0.93686 -0.80007 0.93626 0.93635
-0.78928 0.93636 -0.78928 0.93565 0.93576
-0.77849 0.93588 -0.77849 0.93513 0.93528
-0.76769 0.9354 -0.76769 0.93475 0.93489
-0.7569 0.93493 -0.7569 0.93442 0.93451
-0.74611 0.93446 -0.74611 0.93405 0.9341
-0.73531 0.93398 -0.73532 0.93353 0.93363
-0.72452 0.93348 -0.72452 0.93297 0.93309
-0.71373 0.93298 -0.71373 0.9325 0.93253
-0.70293 0.93247 -0.70294 0.93209 0.93205
-0.69214 0.93197 -0.69214 0.93164 0.93161
-0.68135 0.93147 -0.68135 0.93116 0.93116
-0.67055 0.93097 -0.67056 0.93064 0.93062
-0.65976 0.93046 -0.65976 0.9301 0.93
-0.64896 0.92992 -0.64897 0.92952 0.92936
-0.63817 0.92936 -0.63818 0.92888 0.92873
-0.62738 0.92879 -0.62738 0.92819 0.92814
-0.61658 0.92821 -0.61659 0.92761 0.92756
-0.60579 0.92764 -0.6058 0.92714 0.92702
-0.595 0.9271 -0.59501 0.92667 0.92654
-0.5842 0.92658 -0.58421 0.92613 0.92609
-0.57341 0.92608 -0.57342 0.92558 0.92561
-0.56262 0.92558 -0.56263 0.92508 0.92511
-0.55182 0.92506 -0.55183 0.92464 0.92463
-0.54103 0.92452 -0.54104 0.92418 0.92415
-0.53024 0.92397 -0.53025 0.92366 0.92367
-0.51944 0.9234 -0.51946 0.92312 0.92317
-0.50865 0.92284 -0.50866 0.92256 0.92262
-0.49786 0.92227 -0.49787 0.92197 0.92202
-0.48706 0.92171 -0.48708 0.92131 0.92137
-0.47627 0.92114 -0.47628 0.92062 0.92065
-0.46547 0.92058 -0.46549 0.91998 0.91998
-0.45468 0.92001 -0.4547 0.91935 0.91937
-0.44389 0.91942 -0.44391 0.91871 0.91877
-0.43309 0.9188 -0.43311 0.91808 0.91812
-0.4223 0.91816 -0.42232 0.91746 0.91744
-0.4115 0.91753 -0.41153 0.91683 0.91677
-0.40071 0.91691 -0.40074 0.91624 0.91616
-0.38992 0.9163 -0.38994 0.91569 0.91558
-0.37912 0.91568 -0.37915 0.91516 0.91502
-0.36833 0.91504 -0.36836 0.9146 0.91447
-0.35753 0.91439 -0.35757 0.91395 0.9139
-0.34674 0.91372 -0.34678 0.91325 0.91323
-0.33594 0.91304 -0.33598 0.91257 0.91246
